1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: A50000005C341C21
Is Mission Active?  true
Mission Start:  Fri Sep 16 16:21:00 GMT+08:00 2022
Sample Rate:  Every 15 minute(s)
Number of Mission Samples:  3458
Total Samples:  11728
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
9/30/22, 2:06:00 AM,C,22.5
9/30/22, 2:21:00 AM,C,22.5
9/30/22, 2:36:00 AM,C,22.5
9/30/22, 2:51:00 AM,C,22.5
9/30/22, 3:06:00 AM,C,22.5
9/30/22, 3:21:00 AM,C,22.5
9/30/22, 3:36:00 AM,C,22.5
9/30/22, 3:51:00 AM,C,22.5
9/30/22, 4:06:00 AM,C,22.5
9/30/22, 4:21:00 AM,C,22.5
9/30/22, 4:36:00 AM,C,22.5
9/30/22, 4:51:00 AM,C,22.5
9/30/22, 5:06:00 AM,C,22.5
9/30/22, 5:21:00 AM,C,22.5
9/30/22, 5:36:00 AM,C,22.5
9/30/22, 5:51:00 AM,C,22.5
9/30/22, 6:06:00 AM,C,22.5
9/30/22, 6:21:00 AM,C,22.5
9/30/22, 6:36:00 AM,C,22.5
9/30/22, 6:51:00 AM,C,22.5
9/30/22, 7:06:00 AM,C,22.5
9/30/22, 7:21:00 AM,C,22.5
9/30/22, 7:36:00 AM,C,22.5
9/30/22, 7:51:00 AM,C,22.5
9/30/22, 8:06:00 AM,C,22.5
9/30/22, 8:21:00 AM,C,22.5
9/30/22, 8:36:00 AM,C,22.5
9/30/22, 8:51:00 AM,C,22.5
9/30/22, 9:06:00 AM,C,22.5
9/30/22, 9:21:00 AM,C,22.5
9/30/22, 9:36:00 AM,C,22.5
9/30/22, 9:51:00 AM,C,22.5
9/30/22, 10:06:00 AM,C,22.5
9/30/22, 10:21:00 AM,C,22.5
9/30/22, 10:36:00 AM,C,22.5
9/30/22, 10:51:00 AM,C,22.5
9/30/22, 11:06:00 AM,C,23
9/30/22, 11:21:00 AM,C,22.5
9/30/22, 11:36:00 AM,C,22.5
9/30/22, 11:51:00 AM,C,22.5
9/30/22, 12:06:00 PM,C,22.5
9/30/22, 12:21:00 PM,C,22.5
9/30/22, 12:36:00 PM,C,22.5
9/30/22, 12:51:00 PM,C,22.5
9/30/22, 1:06:00 PM,C,22.5
9/30/22, 1:21:00 PM,C,22.5
9/30/22, 1:36:00 PM,C,22.5
9/30/22, 1:51:00 PM,C,22.5
9/30/22, 2:06:00 PM,C,22.5
9/30/22, 2:21:00 PM,C,22.5
9/30/22, 2:36:00 PM,C,22.5
9/30/22, 2:51:00 PM,C,22.5
9/30/22, 3:06:00 PM,C,22.5
9/30/22, 3:21:00 PM,C,22.5
9/30/22, 3:36:00 PM,C,22.5
9/30/22, 3:51:00 PM,C,22.5
9/30/22, 4:06:00 PM,C,22.5
9/30/22, 4:21:00 PM,C,22.5
9/30/22, 4:36:00 PM,C,22.5
9/30/22, 4:51:00 PM,C,22.5
9/30/22, 5:06:00 PM,C,22.5
9/30/22, 5:21:00 PM,C,22.5
9/30/22, 5:36:00 PM,C,22.5
9/30/22, 5:51:00 PM,C,22.5
9/30/22, 6:06:00 PM,C,22.5
9/30/22, 6:21:00 PM,C,22.5
9/30/22, 6:36:00 PM,C,22.5
9/30/22, 6:51:00 PM,C,22.5
9/30/22, 7:06:00 PM,C,22.5
9/30/22, 7:21:00 PM,C,22.5
9/30/22, 7:36:00 PM,C,22.5
9/30/22, 7:51:00 PM,C,22.5
9/30/22, 8:06:00 PM,C,22
9/30/22, 8:21:00 PM,C,22
9/30/22, 8:36:00 PM,C,22
9/30/22, 8:51:00 PM,C,22
9/30/22, 9:06:00 PM,C,22
9/30/22, 9:21:00 PM,C,22
9/30/22, 9:36:00 PM,C,22
9/30/22, 9:51:00 PM,C,22
9/30/22, 10:06:00 PM,C,22
9/30/22, 10:21:00 PM,C,22
9/30/22, 10:36:00 PM,C,22
9/30/22, 10:51:00 PM,C,22
9/30/22, 11:06:00 PM,C,22
9/30/22, 11:21:00 PM,C,22
9/30/22, 11:36:00 PM,C,22
9/30/22, 11:51:00 PM,C,22
10/1/22, 12:06:00 AM,C,22
10/1/22, 12:21:00 AM,C,22
10/1/22, 12:36:00 AM,C,22
10/1/22, 12:51:00 AM,C,22
10/1/22, 1:06:00 AM,C,22
10/1/22, 1:21:00 AM,C,22
10/1/22, 1:36:00 AM,C,22
10/1/22, 1:51:00 AM,C,22
10/1/22, 2:06:00 AM,C,22
10/1/22, 2:21:00 AM,C,22
10/1/22, 2:36:00 AM,C,22
10/1/22, 2:51:00 AM,C,22
10/1/22, 3:06:00 AM,C,22
10/1/22, 3:21:00 AM,C,22
10/1/22, 3:36:00 AM,C,22
10/1/22, 3:51:00 AM,C,22
10/1/22, 4:06:00 AM,C,22
10/1/22, 4:21:00 AM,C,22
10/1/22, 4:36:00 AM,C,22
10/1/22, 4:51:00 AM,C,22
10/1/22, 5:06:00 AM,C,22
10/1/22, 5:21:00 AM,C,22
10/1/22, 5:36:00 AM,C,22
10/1/22, 5:51:00 AM,C,22
10/1/22, 6:06:00 AM,C,22
10/1/22, 6:21:00 AM,C,22
10/1/22, 6:36:00 AM,C,22
10/1/22, 6:51:00 AM,C,22
10/1/22, 7:06:00 AM,C,22
10/1/22, 7:21:00 AM,C,22
10/1/22, 7:36:00 AM,C,22
10/1/22, 7:51:00 AM,C,22
10/1/22, 8:06:00 AM,C,22
10/1/22, 8:21:00 AM,C,22
10/1/22, 8:36:00 AM,C,22
10/1/22, 8:51:00 AM,C,22
10/1/22, 9:06:00 AM,C,22
10/1/22, 9:21:00 AM,C,22
10/1/22, 9:36:00 AM,C,22.5
10/1/22, 9:51:00 AM,C,22.5
10/1/22, 10:06:00 AM,C,22.5
10/1/22, 10:21:00 AM,C,22.5
10/1/22, 10:36:00 AM,C,22.5
10/1/22, 10:51:00 AM,C,22.5
10/1/22, 11:06:00 AM,C,22.5
10/1/22, 11:21:00 AM,C,22.5
10/1/22, 11:36:00 AM,C,22.5
10/1/22, 11:51:00 AM,C,22.5
10/1/22, 12:06:00 PM,C,22.5
10/1/22, 12:21:00 PM,C,22.5
10/1/22, 12:36:00 PM,C,22.5
10/1/22, 12:51:00 PM,C,22.5
10/1/22, 1:06:00 PM,C,22.5
10/1/22, 1:21:00 PM,C,22.5
10/1/22, 1:36:00 PM,C,22.5
10/1/22, 1:51:00 PM,C,22.5
10/1/22, 2:06:00 PM,C,22.5
10/1/22, 2:21:00 PM,C,22.5
10/1/22, 2:36:00 PM,C,22.5
10/1/22, 2:51:00 PM,C,22.5
10/1/22, 3:06:00 PM,C,22.5
10/1/22, 3:21:00 PM,C,22.5
10/1/22, 3:36:00 PM,C,22.5
10/1/22, 3:51:00 PM,C,22.5
10/1/22, 4:06:00 PM,C,22.5
10/1/22, 4:21:00 PM,C,22.5
10/1/22, 4:36:00 PM,C,22.5
10/1/22, 4:51:00 PM,C,22.5
10/1/22, 5:06:00 PM,C,22.5
10/1/22, 5:21:00 PM,C,22.5
10/1/22, 5:36:00 PM,C,22.5
10/1/22, 5:51:00 PM,C,22.5
10/1/22, 6:06:00 PM,C,22.5
10/1/22, 6:21:00 PM,C,22.5
10/1/22, 6:36:00 PM,C,22.5
10/1/22, 6:51:00 PM,C,22.5
10/1/22, 7:06:00 PM,C,22.5
10/1/22, 7:21:00 PM,C,22.5
10/1/22, 7:36:00 PM,C,22.5
10/1/22, 7:51:00 PM,C,22.5
10/1/22, 8:06:00 PM,C,22.5
10/1/22, 8:21:00 PM,C,22.5
10/1/22, 8:36:00 PM,C,22.5
10/1/22, 8:51:00 PM,C,22.5
10/1/22, 9:06:00 PM,C,22.5
10/1/22, 9:21:00 PM,C,22.5
10/1/22, 9:36:00 PM,C,22.5
10/1/22, 9:51:00 PM,C,22.5
10/1/22, 10:06:00 PM,C,22.5
10/1/22, 10:21:00 PM,C,22.5
10/1/22, 10:36:00 PM,C,22.5
10/1/22, 10:51:00 PM,C,22.5
10/1/22, 11:06:00 PM,C,22.5
10/1/22, 11:21:00 PM,C,22.5
10/1/22, 11:36:00 PM,C,22.5
10/1/22, 11:51:00 PM,C,22.5
10/2/22, 12:06:00 AM,C,22.5
10/2/22, 12:21:00 AM,C,22.5
10/2/22, 12:36:00 AM,C,22.5
10/2/22, 12:51:00 AM,C,22.5
10/2/22, 1:06:00 AM,C,22.5
10/2/22, 1:21:00 AM,C,22.5
10/2/22, 1:36:00 AM,C,22.5
10/2/22, 1:51:00 AM,C,22.5
10/2/22, 2:06:00 AM,C,22.5
10/2/22, 2:21:00 AM,C,22.5
10/2/22, 2:36:00 AM,C,22.5
10/2/22, 2:51:00 AM,C,22.5
10/2/22, 3:06:00 AM,C,22.5
10/2/22, 3:21:00 AM,C,22.5
10/2/22, 3:36:00 AM,C,22.5
10/2/22, 3:51:00 AM,C,22.5
10/2/22, 4:06:00 AM,C,22.5
10/2/22, 4:21:00 AM,C,22.5
10/2/22, 4:36:00 AM,C,22.5
10/2/22, 4:51:00 AM,C,22.5
10/2/22, 5:06:00 AM,C,22.5
10/2/22, 5:21:00 AM,C,22.5
10/2/22, 5:36:00 AM,C,22.5
10/2/22, 5:51:00 AM,C,22.5
10/2/22, 6:06:00 AM,C,22.5
10/2/22, 6:21:00 AM,C,22.5
10/2/22, 6:36:00 AM,C,22.5
10/2/22, 6:51:00 AM,C,22.5
10/2/22, 7:06:00 AM,C,22.5
10/2/22, 7:21:00 AM,C,22.5
10/2/22, 7:36:00 AM,C,22.5
10/2/22, 7:51:00 AM,C,22.5
10/2/22, 8:06:00 AM,C,22.5
10/2/22, 8:21:00 AM,C,22.5
10/2/22, 8:36:00 AM,C,22.5
10/2/22, 8:51:00 AM,C,22.5
10/2/22, 9:06:00 AM,C,22.5
10/2/22, 9:21:00 AM,C,22.5
10/2/22, 9:36:00 AM,C,22.5
10/2/22, 9:51:00 AM,C,22.5
10/2/22, 10:06:00 AM,C,22.5
10/2/22, 10:21:00 AM,C,22.5
10/2/22, 10:36:00 AM,C,22.5
10/2/22, 10:51:00 AM,C,22.5
10/2/22, 11:06:00 AM,C,22.5
10/2/22, 11:21:00 AM,C,22.5
10/2/22, 11:36:00 AM,C,22.5
10/2/22, 11:51:00 AM,C,22.5
10/2/22, 12:06:00 PM,C,22.5
10/2/22, 12:21:00 PM,C,22.5
10/2/22, 12:36:00 PM,C,23
10/2/22, 12:51:00 PM,C,23
10/2/22, 1:06:00 PM,C,23
10/2/22, 1:21:00 PM,C,23
10/2/22, 1:36:00 PM,C,23
10/2/22, 1:51:00 PM,C,23
10/2/22, 2:06:00 PM,C,23
10/2/22, 2:21:00 PM,C,23
10/2/22, 2:36:00 PM,C,23
10/2/22, 2:51:00 PM,C,23
10/2/22, 3:06:00 PM,C,23
10/2/22, 3:21:00 PM,C,23
10/2/22, 3:36:00 PM,C,23
10/2/22, 3:51:00 PM,C,23
10/2/22, 4:06:00 PM,C,23
10/2/22, 4:21:00 PM,C,23
10/2/22, 4:36:00 PM,C,23
10/2/22, 4:51:00 PM,C,23
10/2/22, 5:06:00 PM,C,23
10/2/22, 5:21:00 PM,C,23
10/2/22, 5:36:00 PM,C,23
10/2/22, 5:51:00 PM,C,23
10/2/22, 6:06:00 PM,C,23
10/2/22, 6:21:00 PM,C,23
10/2/22, 6:36:00 PM,C,23
10/2/22, 6:51:00 PM,C,23
10/2/22, 7:06:00 PM,C,23
10/2/22, 7:21:00 PM,C,23
10/2/22, 7:36:00 PM,C,23
10/2/22, 7:51:00 PM,C,23
10/2/22, 8:06:00 PM,C,23
10/2/22, 8:21:00 PM,C,22.5
10/2/22, 8:36:00 PM,C,23
10/2/22, 8:51:00 PM,C,22.5
10/2/22, 9:06:00 PM,C,22.5
10/2/22, 9:21:00 PM,C,22.5
10/2/22, 9:36:00 PM,C,22.5
10/2/22, 9:51:00 PM,C,22.5
10/2/22, 10:06:00 PM,C,22.5
10/2/22, 10:21:00 PM,C,22.5
10/2/22, 10:36:00 PM,C,22.5
10/2/22, 10:51:00 PM,C,22.5
10/2/22, 11:06:00 PM,C,22.5
10/2/22, 11:21:00 PM,C,22.5
10/2/22, 11:36:00 PM,C,22.5
10/2/22, 11:51:00 PM,C,22.5
10/3/22, 12:06:00 AM,C,22.5
10/3/22, 12:21:00 AM,C,22.5
10/3/22, 12:36:00 AM,C,22.5
10/3/22, 12:51:00 AM,C,22.5
10/3/22, 1:06:00 AM,C,22.5
10/3/22, 1:21:00 AM,C,22.5
10/3/22, 1:36:00 AM,C,22.5
10/3/22, 1:51:00 AM,C,22.5
10/3/22, 2:06:00 AM,C,22.5
10/3/22, 2:21:00 AM,C,22.5
10/3/22, 2:36:00 AM,C,22.5
10/3/22, 2:51:00 AM,C,22.5
10/3/22, 3:06:00 AM,C,22.5
10/3/22, 3:21:00 AM,C,22.5
10/3/22, 3:36:00 AM,C,22.5
10/3/22, 3:51:00 AM,C,22.5
10/3/22, 4:06:00 AM,C,22.5
10/3/22, 4:21:00 AM,C,22.5
10/3/22, 4:36:00 AM,C,22.5
10/3/22, 4:51:00 AM,C,22.5
10/3/22, 5:06:00 AM,C,22.5
10/3/22, 5:21:00 AM,C,22.5
10/3/22, 5:36:00 AM,C,22.5
10/3/22, 5:51:00 AM,C,22.5
10/3/22, 6:06:00 AM,C,22.5
10/3/22, 6:21:00 AM,C,22.5
10/3/22, 6:36:00 AM,C,22.5
10/3/22, 6:51:00 AM,C,22.5
10/3/22, 7:06:00 AM,C,22.5
10/3/22, 7:21:00 AM,C,22.5
10/3/22, 7:36:00 AM,C,22.5
10/3/22, 7:51:00 AM,C,22.5
10/3/22, 8:06:00 AM,C,22.5
10/3/22, 8:21:00 AM,C,22.5
10/3/22, 8:36:00 AM,C,22.5
10/3/22, 8:51:00 AM,C,22.5
10/3/22, 9:06:00 AM,C,22.5
10/3/22, 9:21:00 AM,C,22.5
10/3/22, 9:36:00 AM,C,22.5
10/3/22, 9:51:00 AM,C,22.5
10/3/22, 10:06:00 AM,C,22.5
10/3/22, 10:21:00 AM,C,22.5
10/3/22, 10:36:00 AM,C,22.5
10/3/22, 10:51:00 AM,C,22.5
10/3/22, 11:06:00 AM,C,22.5
10/3/22, 11:21:00 AM,C,22.5
10/3/22, 11:36:00 AM,C,22.5
10/3/22, 11:51:00 AM,C,22.5
10/3/22, 12:06:00 PM,C,23
10/3/22, 12:21:00 PM,C,23
10/3/22, 12:36:00 PM,C,23
10/3/22, 12:51:00 PM,C,23
10/3/22, 1:06:00 PM,C,23
10/3/22, 1:21:00 PM,C,23
10/3/22, 1:36:00 PM,C,23
10/3/22, 1:51:00 PM,C,23
10/3/22, 2:06:00 PM,C,23
10/3/22, 2:21:00 PM,C,23
10/3/22, 2:36:00 PM,C,23
10/3/22, 2:51:00 PM,C,23
10/3/22, 3:06:00 PM,C,23
10/3/22, 3:21:00 PM,C,23
10/3/22, 3:36:00 PM,C,23
10/3/22, 3:51:00 PM,C,23
10/3/22, 4:06:00 PM,C,23
10/3/22, 4:21:00 PM,C,23
10/3/22, 4:36:00 PM,C,23
10/3/22, 4:51:00 PM,C,23
10/3/22, 5:06:00 PM,C,23
10/3/22, 5:21:00 PM,C,23
10/3/22, 5:36:00 PM,C,23
10/3/22, 5:51:00 PM,C,23
10/3/22, 6:06:00 PM,C,22.5
10/3/22, 6:21:00 PM,C,22.5
10/3/22, 6:36:00 PM,C,22.5
10/3/22, 6:51:00 PM,C,22.5
10/3/22, 7:06:00 PM,C,22.5
10/3/22, 7:21:00 PM,C,22.5
10/3/22, 7:36:00 PM,C,22.5
10/3/22, 7:51:00 PM,C,22.5
10/3/22, 8:06:00 PM,C,22.5
10/3/22, 8:21:00 PM,C,22.5
10/3/22, 8:36:00 PM,C,22.5
10/3/22, 8:51:00 PM,C,22.5
10/3/22, 9:06:00 PM,C,22.5
10/3/22, 9:21:00 PM,C,22.5
10/3/22, 9:36:00 PM,C,22.5
10/3/22, 9:51:00 PM,C,22.5
10/3/22, 10:06:00 PM,C,22.5
10/3/22, 10:21:00 PM,C,22.5
10/3/22, 10:36:00 PM,C,22.5
10/3/22, 10:51:00 PM,C,22.5
10/3/22, 11:06:00 PM,C,22.5
10/3/22, 11:21:00 PM,C,22.5
10/3/22, 11:36:00 PM,C,22.5
10/3/22, 11:51:00 PM,C,22.5
10/4/22, 12:06:00 AM,C,22.5
10/4/22, 12:21:00 AM,C,22.5
10/4/22, 12:36:00 AM,C,22
10/4/22, 12:51:00 AM,C,22
10/4/22, 1:06:00 AM,C,22
10/4/22, 1:21:00 AM,C,22
10/4/22, 1:36:00 AM,C,22
10/4/22, 1:51:00 AM,C,22
10/4/22, 2:06:00 AM,C,22
10/4/22, 2:21:00 AM,C,22
10/4/22, 2:36:00 AM,C,22
10/4/22, 2:51:00 AM,C,22
10/4/22, 3:06:00 AM,C,22
10/4/22, 3:21:00 AM,C,22
10/4/22, 3:36:00 AM,C,22
10/4/22, 3:51:00 AM,C,22
10/4/22, 4:06:00 AM,C,22
10/4/22, 4:21:00 AM,C,22
10/4/22, 4:36:00 AM,C,22
10/4/22, 4:51:00 AM,C,22
10/4/22, 5:06:00 AM,C,22
10/4/22, 5:21:00 AM,C,22
10/4/22, 5:36:00 AM,C,22
10/4/22, 5:51:00 AM,C,22
10/4/22, 6:06:00 AM,C,22
10/4/22, 6:21:00 AM,C,22
10/4/22, 6:36:00 AM,C,22
10/4/22, 6:51:00 AM,C,22
10/4/22, 7:06:00 AM,C,22
10/4/22, 7:21:00 AM,C,22
10/4/22, 7:36:00 AM,C,22
10/4/22, 7:51:00 AM,C,22
10/4/22, 8:06:00 AM,C,22
10/4/22, 8:21:00 AM,C,22
10/4/22, 8:36:00 AM,C,22
10/4/22, 8:51:00 AM,C,22
10/4/22, 9:06:00 AM,C,22
10/4/22, 9:21:00 AM,C,22
10/4/22, 9:36:00 AM,C,22
10/4/22, 9:51:00 AM,C,22
10/4/22, 10:06:00 AM,C,22
10/4/22, 10:21:00 AM,C,22
10/4/22, 10:36:00 AM,C,22
10/4/22, 10:51:00 AM,C,22.5
10/4/22, 11:06:00 AM,C,22.5
10/4/22, 11:21:00 AM,C,22.5
10/4/22, 11:36:00 AM,C,22.5
10/4/22, 11:51:00 AM,C,22.5
10/4/22, 12:06:00 PM,C,22.5
10/4/22, 12:21:00 PM,C,22.5
10/4/22, 12:36:00 PM,C,22.5
10/4/22, 12:51:00 PM,C,22.5
10/4/22, 1:06:00 PM,C,22.5
10/4/22, 1:21:00 PM,C,22.5
10/4/22, 1:36:00 PM,C,22.5
10/4/22, 1:51:00 PM,C,23
10/4/22, 2:06:00 PM,C,22.5
10/4/22, 2:21:00 PM,C,23
10/4/22, 2:36:00 PM,C,23
10/4/22, 2:51:00 PM,C,23
10/4/22, 3:06:00 PM,C,23
10/4/22, 3:21:00 PM,C,23
10/4/22, 3:36:00 PM,C,23
10/4/22, 3:51:00 PM,C,23
10/4/22, 4:06:00 PM,C,23
10/4/22, 4:21:00 PM,C,23
10/4/22, 4:36:00 PM,C,23
10/4/22, 4:51:00 PM,C,23
10/4/22, 5:06:00 PM,C,23
10/4/22, 5:21:00 PM,C,23
10/4/22, 5:36:00 PM,C,23
10/4/22, 5:51:00 PM,C,23
10/4/22, 6:06:00 PM,C,23
10/4/22, 6:21:00 PM,C,23
10/4/22, 6:36:00 PM,C,23
10/4/22, 6:51:00 PM,C,23
10/4/22, 7:06:00 PM,C,23
10/4/22, 7:21:00 PM,C,23
10/4/22, 7:36:00 PM,C,23
10/4/22, 7:51:00 PM,C,23
10/4/22, 8:06:00 PM,C,22.5
10/4/22, 8:21:00 PM,C,23
10/4/22, 8:36:00 PM,C,22.5
10/4/22, 8:51:00 PM,C,22.5
10/4/22, 9:06:00 PM,C,22.5
10/4/22, 9:21:00 PM,C,22.5
10/4/22, 9:36:00 PM,C,22.5
10/4/22, 9:51:00 PM,C,22.5
10/4/22, 10:06:00 PM,C,22.5
10/4/22, 10:21:00 PM,C,22.5
10/4/22, 10:36:00 PM,C,22.5
10/4/22, 10:51:00 PM,C,22.5
10/4/22, 11:06:00 PM,C,22.5
10/4/22, 11:21:00 PM,C,22.5
10/4/22, 11:36:00 PM,C,22.5
10/4/22, 11:51:00 PM,C,22.5
10/5/22, 12:06:00 AM,C,22.5
10/5/22, 12:21:00 AM,C,22.5
10/5/22, 12:36:00 AM,C,22.5
10/5/22, 12:51:00 AM,C,22.5
10/5/22, 1:06:00 AM,C,22.5
10/5/22, 1:21:00 AM,C,22.5
10/5/22, 1:36:00 AM,C,22.5
10/5/22, 1:51:00 AM,C,22.5
10/5/22, 2:06:00 AM,C,22.5
10/5/22, 2:21:00 AM,C,22.5
10/5/22, 2:36:00 AM,C,22.5
10/5/22, 2:51:00 AM,C,22.5
10/5/22, 3:06:00 AM,C,22.5
10/5/22, 3:21:00 AM,C,22.5
10/5/22, 3:36:00 AM,C,22.5
10/5/22, 3:51:00 AM,C,22.5
10/5/22, 4:06:00 AM,C,22.5
10/5/22, 4:21:00 AM,C,22.5
10/5/22, 4:36:00 AM,C,22.5
10/5/22, 4:51:00 AM,C,22.5
10/5/22, 5:06:00 AM,C,22.5
10/5/22, 5:21:00 AM,C,22
10/5/22, 5:36:00 AM,C,22
10/5/22, 5:51:00 AM,C,22
10/5/22, 6:06:00 AM,C,22
10/5/22, 6:21:00 AM,C,22
10/5/22, 6:36:00 AM,C,22
10/5/22, 6:51:00 AM,C,22
10/5/22, 7:06:00 AM,C,22
10/5/22, 7:21:00 AM,C,22
10/5/22, 7:36:00 AM,C,22
10/5/22, 7:51:00 AM,C,22
10/5/22, 8:06:00 AM,C,22
10/5/22, 8:21:00 AM,C,22
10/5/22, 8:36:00 AM,C,22
10/5/22, 8:51:00 AM,C,22
10/5/22, 9:06:00 AM,C,22.5
10/5/22, 9:21:00 AM,C,22.5
10/5/22, 9:36:00 AM,C,22.5
10/5/22, 9:51:00 AM,C,22.5
10/5/22, 10:06:00 AM,C,22.5
10/5/22, 10:21:00 AM,C,22.5
10/5/22, 10:36:00 AM,C,22.5
10/5/22, 10:51:00 AM,C,22.5
10/5/22, 11:06:00 AM,C,22.5
10/5/22, 11:21:00 AM,C,22.5
10/5/22, 11:36:00 AM,C,22.5
10/5/22, 11:51:00 AM,C,22.5
10/5/22, 12:06:00 PM,C,22.5
10/5/22, 12:21:00 PM,C,22.5
10/5/22, 12:36:00 PM,C,22.5
10/5/22, 12:51:00 PM,C,22.5
10/5/22, 1:06:00 PM,C,22.5
10/5/22, 1:21:00 PM,C,22.5
10/5/22, 1:36:00 PM,C,22.5
10/5/22, 1:51:00 PM,C,22.5
10/5/22, 2:06:00 PM,C,22.5
10/5/22, 2:21:00 PM,C,23
10/5/22, 2:36:00 PM,C,23
10/5/22, 2:51:00 PM,C,22.5
10/5/22, 3:06:00 PM,C,23
10/5/22, 3:21:00 PM,C,22.5
10/5/22, 3:36:00 PM,C,23
10/5/22, 3:51:00 PM,C,22.5
10/5/22, 4:06:00 PM,C,22.5
10/5/22, 4:21:00 PM,C,22.5
10/5/22, 4:36:00 PM,C,22.5
10/5/22, 4:51:00 PM,C,22.5
10/5/22, 5:06:00 PM,C,22.5
10/5/22, 5:21:00 PM,C,22.5
10/5/22, 5:36:00 PM,C,22.5
10/5/22, 5:51:00 PM,C,22.5
10/5/22, 6:06:00 PM,C,22.5
10/5/22, 6:21:00 PM,C,22.5
10/5/22, 6:36:00 PM,C,22.5
10/5/22, 6:51:00 PM,C,22.5
10/5/22, 7:06:00 PM,C,22.5
10/5/22, 7:21:00 PM,C,22.5
10/5/22, 7:36:00 PM,C,22.5
10/5/22, 7:51:00 PM,C,22.5
10/5/22, 8:06:00 PM,C,22.5
10/5/22, 8:21:00 PM,C,22.5
10/5/22, 8:36:00 PM,C,22.5
10/5/22, 8:51:00 PM,C,22.5
10/5/22, 9:06:00 PM,C,22.5
10/5/22, 9:21:00 PM,C,22.5
10/5/22, 9:36:00 PM,C,22.5
10/5/22, 9:51:00 PM,C,22.5
10/5/22, 10:06:00 PM,C,22.5
10/5/22, 10:21:00 PM,C,22.5
10/5/22, 10:36:00 PM,C,22.5
10/5/22, 10:51:00 PM,C,22
10/5/22, 11:06:00 PM,C,22
10/5/22, 11:21:00 PM,C,22
10/5/22, 11:36:00 PM,C,22
10/5/22, 11:51:00 PM,C,22
10/6/22, 12:06:00 AM,C,22
10/6/22, 12:21:00 AM,C,22
10/6/22, 12:36:00 AM,C,22
10/6/22, 12:51:00 AM,C,22
10/6/22, 1:06:00 AM,C,22
10/6/22, 1:21:00 AM,C,22
10/6/22, 1:36:00 AM,C,22
10/6/22, 1:51:00 AM,C,22
10/6/22, 2:06:00 AM,C,22
10/6/22, 2:21:00 AM,C,22
10/6/22, 2:36:00 AM,C,22
10/6/22, 2:51:00 AM,C,22
10/6/22, 3:06:00 AM,C,22
10/6/22, 3:21:00 AM,C,22
10/6/22, 3:36:00 AM,C,22
10/6/22, 3:51:00 AM,C,22
10/6/22, 4:06:00 AM,C,22
10/6/22, 4:21:00 AM,C,22
10/6/22, 4:36:00 AM,C,22
10/6/22, 4:51:00 AM,C,22
10/6/22, 5:06:00 AM,C,22
10/6/22, 5:21:00 AM,C,22
10/6/22, 5:36:00 AM,C,22
10/6/22, 5:51:00 AM,C,22
10/6/22, 6:06:00 AM,C,22
10/6/22, 6:21:00 AM,C,22
10/6/22, 6:36:00 AM,C,22
10/6/22, 6:51:00 AM,C,22
10/6/22, 7:06:00 AM,C,22
10/6/22, 7:21:00 AM,C,22
10/6/22, 7:36:00 AM,C,22
10/6/22, 7:51:00 AM,C,22
10/6/22, 8:06:00 AM,C,22
10/6/22, 8:21:00 AM,C,22
10/6/22, 8:36:00 AM,C,22
10/6/22, 8:51:00 AM,C,22
10/6/22, 9:06:00 AM,C,22
10/6/22, 9:21:00 AM,C,22
10/6/22, 9:36:00 AM,C,22
10/6/22, 9:51:00 AM,C,22
10/6/22, 10:06:00 AM,C,22
10/6/22, 10:21:00 AM,C,22
10/6/22, 10:36:00 AM,C,22
10/6/22, 10:51:00 AM,C,22
10/6/22, 11:06:00 AM,C,22
10/6/22, 11:21:00 AM,C,22
10/6/22, 11:36:00 AM,C,22.5
10/6/22, 11:51:00 AM,C,22.5
10/6/22, 12:06:00 PM,C,22.5
10/6/22, 12:21:00 PM,C,22.5
10/6/22, 12:36:00 PM,C,22.5
10/6/22, 12:51:00 PM,C,22.5
10/6/22, 1:06:00 PM,C,22.5
10/6/22, 1:21:00 PM,C,22.5
10/6/22, 1:36:00 PM,C,22.5
10/6/22, 1:51:00 PM,C,22.5
10/6/22, 2:06:00 PM,C,22.5
10/6/22, 2:21:00 PM,C,22.5
10/6/22, 2:36:00 PM,C,22.5
10/6/22, 2:51:00 PM,C,22.5
10/6/22, 3:06:00 PM,C,22.5
10/6/22, 3:21:00 PM,C,22.5
10/6/22, 3:36:00 PM,C,22.5
10/6/22, 3:51:00 PM,C,22.5
10/6/22, 4:06:00 PM,C,22.5
10/6/22, 4:21:00 PM,C,22.5
10/6/22, 4:36:00 PM,C,22.5
10/6/22, 4:51:00 PM,C,22.5
10/6/22, 5:06:00 PM,C,22.5
10/6/22, 5:21:00 PM,C,22.5
10/6/22, 5:36:00 PM,C,22.5
10/6/22, 5:51:00 PM,C,22.5
10/6/22, 6:06:00 PM,C,22.5
10/6/22, 6:21:00 PM,C,22.5
10/6/22, 6:36:00 PM,C,22.5
10/6/22, 6:51:00 PM,C,22.5
10/6/22, 7:06:00 PM,C,22.5
10/6/22, 7:21:00 PM,C,22.5
10/6/22, 7:36:00 PM,C,22.5
