1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 960000005C198521
Is Mission Active?  true
Mission Start:  Thu Jun 02 17:44:00 GMT+08:00 2022
Sample Rate:  Every 15 minute(s)
Number of Mission Samples:  3084
Total Samples:  8268
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
2/6/2022, 5:44:00 pm,C,23
2/6/2022, 5:59:00 pm,C,23
2/6/2022, 6:14:00 pm,C,23
2/6/2022, 6:29:00 pm,C,23
2/6/2022, 6:44:00 pm,C,22.5
2/6/2022, 6:59:00 pm,C,22.5
2/6/2022, 7:14:00 pm,C,22.5
2/6/2022, 7:29:00 pm,C,22.5
2/6/2022, 7:44:00 pm,C,22.5
2/6/2022, 7:59:00 pm,C,22.5
2/6/2022, 8:14:00 pm,C,22.5
2/6/2022, 8:29:00 pm,C,22.5
2/6/2022, 8:44:00 pm,C,22.5
2/6/2022, 8:59:00 pm,C,22.5
2/6/2022, 9:14:00 pm,C,22.5
2/6/2022, 9:29:00 pm,C,22.5
2/6/2022, 9:44:00 pm,C,22.5
2/6/2022, 9:59:00 pm,C,22.5
2/6/2022, 10:14:00 pm,C,22.5
2/6/2022, 10:29:00 pm,C,22.5
2/6/2022, 10:44:00 pm,C,22.5
2/6/2022, 10:59:00 pm,C,22.5
2/6/2022, 11:14:00 pm,C,22.5
2/6/2022, 11:29:00 pm,C,22.5
2/6/2022, 11:44:00 pm,C,22.5
2/6/2022, 11:59:00 pm,C,22.5
3/6/2022, 12:14:00 am,C,22.5
3/6/2022, 12:29:00 am,C,22.5
3/6/2022, 12:44:00 am,C,22.5
3/6/2022, 12:59:00 am,C,22.5
3/6/2022, 1:14:00 am,C,22.5
3/6/2022, 1:29:00 am,C,22.5
3/6/2022, 1:44:00 am,C,22.5
3/6/2022, 1:59:00 am,C,22.5
3/6/2022, 2:14:00 am,C,22.5
3/6/2022, 2:29:00 am,C,22.5
3/6/2022, 2:44:00 am,C,22.5
3/6/2022, 2:59:00 am,C,22.5
3/6/2022, 3:14:00 am,C,22.5
3/6/2022, 3:29:00 am,C,22.5
3/6/2022, 3:44:00 am,C,22.5
3/6/2022, 3:59:00 am,C,22.5
3/6/2022, 4:14:00 am,C,22.5
3/6/2022, 4:29:00 am,C,22.5
3/6/2022, 4:44:00 am,C,22.5
3/6/2022, 4:59:00 am,C,22.5
3/6/2022, 5:14:00 am,C,22.5
3/6/2022, 5:29:00 am,C,22.5
3/6/2022, 5:44:00 am,C,22.5
3/6/2022, 5:59:00 am,C,22.5
3/6/2022, 6:14:00 am,C,22.5
3/6/2022, 6:29:00 am,C,22.5
3/6/2022, 6:44:00 am,C,22.5
3/6/2022, 6:59:00 am,C,22.5
3/6/2022, 7:14:00 am,C,22.5
3/6/2022, 7:29:00 am,C,22.5
3/6/2022, 7:44:00 am,C,23
3/6/2022, 7:59:00 am,C,22.5
3/6/2022, 8:14:00 am,C,22.5
3/6/2022, 8:29:00 am,C,22.5
3/6/2022, 8:44:00 am,C,23
3/6/2022, 8:59:00 am,C,23.5
3/6/2022, 9:14:00 am,C,23.5
3/6/2022, 9:29:00 am,C,23
3/6/2022, 9:44:00 am,C,23
3/6/2022, 9:59:00 am,C,23
3/6/2022, 10:14:00 am,C,22.5
3/6/2022, 10:29:00 am,C,22.5
3/6/2022, 10:44:00 am,C,22.5
3/6/2022, 10:59:00 am,C,22.5
3/6/2022, 11:14:00 am,C,22.5
3/6/2022, 11:29:00 am,C,22.5
3/6/2022, 11:44:00 am,C,22.5
3/6/2022, 11:59:00 am,C,23.5
3/6/2022, 12:14:00 pm,C,23.5
3/6/2022, 12:29:00 pm,C,23.5
3/6/2022, 12:44:00 pm,C,23.5
3/6/2022, 12:59:00 pm,C,23
3/6/2022, 1:14:00 pm,C,23
3/6/2022, 1:29:00 pm,C,23
3/6/2022, 1:44:00 pm,C,23
3/6/2022, 1:59:00 pm,C,23
3/6/2022, 2:14:00 pm,C,22.5
3/6/2022, 2:29:00 pm,C,23
3/6/2022, 2:44:00 pm,C,22.5
3/6/2022, 2:59:00 pm,C,23
3/6/2022, 3:14:00 pm,C,23
3/6/2022, 3:29:00 pm,C,22.5
3/6/2022, 3:44:00 pm,C,22.5
3/6/2022, 3:59:00 pm,C,22.5
3/6/2022, 4:14:00 pm,C,22.5
3/6/2022, 4:29:00 pm,C,22.5
3/6/2022, 4:44:00 pm,C,22.5
3/6/2022, 4:59:00 pm,C,22.5
3/6/2022, 5:14:00 pm,C,22.5
3/6/2022, 5:29:00 pm,C,22.5
3/6/2022, 5:44:00 pm,C,22.5
3/6/2022, 5:59:00 pm,C,22.5
3/6/2022, 6:14:00 pm,C,22.5
3/6/2022, 6:29:00 pm,C,22.5
3/6/2022, 6:44:00 pm,C,22.5
3/6/2022, 6:59:00 pm,C,22.5
3/6/2022, 7:14:00 pm,C,22.5
3/6/2022, 7:29:00 pm,C,22.5
3/6/2022, 7:44:00 pm,C,22.5
3/6/2022, 7:59:00 pm,C,22.5
3/6/2022, 8:14:00 pm,C,22.5
3/6/2022, 8:29:00 pm,C,22.5
3/6/2022, 8:44:00 pm,C,22.5
3/6/2022, 8:59:00 pm,C,22.5
3/6/2022, 9:14:00 pm,C,22.5
3/6/2022, 9:29:00 pm,C,22.5
3/6/2022, 9:44:00 pm,C,22.5
3/6/2022, 9:59:00 pm,C,22.5
3/6/2022, 10:14:00 pm,C,22.5
3/6/2022, 10:29:00 pm,C,22.5
3/6/2022, 10:44:00 pm,C,22.5
3/6/2022, 10:59:00 pm,C,22.5
3/6/2022, 11:14:00 pm,C,22.5
3/6/2022, 11:29:00 pm,C,22.5
3/6/2022, 11:44:00 pm,C,22.5
3/6/2022, 11:59:00 pm,C,22.5
4/6/2022, 12:14:00 am,C,22.5
4/6/2022, 12:29:00 am,C,22.5
4/6/2022, 12:44:00 am,C,22.5
4/6/2022, 12:59:00 am,C,22.5
4/6/2022, 1:14:00 am,C,22.5
4/6/2022, 1:29:00 am,C,22.5
4/6/2022, 1:44:00 am,C,22.5
4/6/2022, 1:59:00 am,C,22.5
4/6/2022, 2:14:00 am,C,22.5
4/6/2022, 2:29:00 am,C,22.5
4/6/2022, 2:44:00 am,C,22.5
4/6/2022, 2:59:00 am,C,22.5
4/6/2022, 3:14:00 am,C,22.5
4/6/2022, 3:29:00 am,C,22.5
4/6/2022, 3:44:00 am,C,22.5
4/6/2022, 3:59:00 am,C,22.5
4/6/2022, 4:14:00 am,C,22.5
4/6/2022, 4:29:00 am,C,22.5
4/6/2022, 4:44:00 am,C,22.5
4/6/2022, 4:59:00 am,C,22.5
4/6/2022, 5:14:00 am,C,22.5
4/6/2022, 5:29:00 am,C,22.5
4/6/2022, 5:44:00 am,C,22.5
4/6/2022, 5:59:00 am,C,22.5
4/6/2022, 6:14:00 am,C,22.5
4/6/2022, 6:29:00 am,C,22.5
4/6/2022, 6:44:00 am,C,22.5
4/6/2022, 6:59:00 am,C,22.5
4/6/2022, 7:14:00 am,C,22.5
4/6/2022, 7:29:00 am,C,22.5
4/6/2022, 7:44:00 am,C,22.5
4/6/2022, 7:59:00 am,C,22.5
4/6/2022, 8:14:00 am,C,22.5
4/6/2022, 8:29:00 am,C,22.5
4/6/2022, 8:44:00 am,C,22.5
4/6/2022, 8:59:00 am,C,22.5
4/6/2022, 9:14:00 am,C,22.5
4/6/2022, 9:29:00 am,C,22.5
4/6/2022, 9:44:00 am,C,22.5
4/6/2022, 9:59:00 am,C,22.5
4/6/2022, 10:14:00 am,C,22.5
4/6/2022, 10:29:00 am,C,22.5
4/6/2022, 10:44:00 am,C,22.5
4/6/2022, 10:59:00 am,C,22.5
4/6/2022, 11:14:00 am,C,22.5
4/6/2022, 11:29:00 am,C,22.5
4/6/2022, 11:44:00 am,C,22.5
4/6/2022, 11:59:00 am,C,22.5
4/6/2022, 12:14:00 pm,C,22.5
4/6/2022, 12:29:00 pm,C,22.5
4/6/2022, 12:44:00 pm,C,22.5
4/6/2022, 12:59:00 pm,C,22.5
4/6/2022, 1:14:00 pm,C,22.5
4/6/2022, 1:29:00 pm,C,22.5
4/6/2022, 1:44:00 pm,C,22.5
4/6/2022, 1:59:00 pm,C,23
4/6/2022, 2:14:00 pm,C,23
4/6/2022, 2:29:00 pm,C,23
4/6/2022, 2:44:00 pm,C,23
4/6/2022, 2:59:00 pm,C,23
4/6/2022, 3:14:00 pm,C,23
4/6/2022, 3:29:00 pm,C,23
4/6/2022, 3:44:00 pm,C,23
4/6/2022, 3:59:00 pm,C,23
4/6/2022, 4:14:00 pm,C,23
4/6/2022, 4:29:00 pm,C,23
4/6/2022, 4:44:00 pm,C,23
4/6/2022, 4:59:00 pm,C,23
4/6/2022, 5:14:00 pm,C,23
4/6/2022, 5:29:00 pm,C,23
4/6/2022, 5:44:00 pm,C,23
4/6/2022, 5:59:00 pm,C,23
4/6/2022, 6:14:00 pm,C,23
4/6/2022, 6:29:00 pm,C,23
4/6/2022, 6:44:00 pm,C,23
4/6/2022, 6:59:00 pm,C,23
4/6/2022, 7:14:00 pm,C,23
4/6/2022, 7:29:00 pm,C,23
4/6/2022, 7:44:00 pm,C,22.5
4/6/2022, 7:59:00 pm,C,22.5
4/6/2022, 8:14:00 pm,C,22.5
4/6/2022, 8:29:00 pm,C,22.5
4/6/2022, 8:44:00 pm,C,22.5
4/6/2022, 8:59:00 pm,C,22.5
4/6/2022, 9:14:00 pm,C,22.5
4/6/2022, 9:29:00 pm,C,22.5
4/6/2022, 9:44:00 pm,C,22.5
4/6/2022, 9:59:00 pm,C,22.5
4/6/2022, 10:14:00 pm,C,22.5
4/6/2022, 10:29:00 pm,C,22.5
4/6/2022, 10:44:00 pm,C,22.5
4/6/2022, 10:59:00 pm,C,22.5
4/6/2022, 11:14:00 pm,C,22.5
4/6/2022, 11:29:00 pm,C,22.5
4/6/2022, 11:44:00 pm,C,22.5
4/6/2022, 11:59:00 pm,C,22.5
5/6/2022, 12:14:00 am,C,22.5
5/6/2022, 12:29:00 am,C,22.5
5/6/2022, 12:44:00 am,C,22.5
5/6/2022, 12:59:00 am,C,22.5
5/6/2022, 1:14:00 am,C,22.5
5/6/2022, 1:29:00 am,C,22.5
5/6/2022, 1:44:00 am,C,22.5
5/6/2022, 1:59:00 am,C,22.5
5/6/2022, 2:14:00 am,C,22.5
5/6/2022, 2:29:00 am,C,22.5
5/6/2022, 2:44:00 am,C,22.5
5/6/2022, 2:59:00 am,C,22.5
5/6/2022, 3:14:00 am,C,22.5
5/6/2022, 3:29:00 am,C,22.5
5/6/2022, 3:44:00 am,C,22.5
5/6/2022, 3:59:00 am,C,22.5
5/6/2022, 4:14:00 am,C,22.5
5/6/2022, 4:29:00 am,C,22.5
5/6/2022, 4:44:00 am,C,22.5
5/6/2022, 4:59:00 am,C,22.5
5/6/2022, 5:14:00 am,C,22.5
5/6/2022, 5:29:00 am,C,22.5
5/6/2022, 5:44:00 am,C,22.5
5/6/2022, 5:59:00 am,C,22.5
5/6/2022, 6:14:00 am,C,22.5
5/6/2022, 6:29:00 am,C,22.5
5/6/2022, 6:44:00 am,C,22.5
5/6/2022, 6:59:00 am,C,22.5
5/6/2022, 7:14:00 am,C,22.5
5/6/2022, 7:29:00 am,C,22.5
5/6/2022, 7:44:00 am,C,22.5
5/6/2022, 7:59:00 am,C,22.5
5/6/2022, 8:14:00 am,C,22.5
5/6/2022, 8:29:00 am,C,22.5
5/6/2022, 8:44:00 am,C,22.5
5/6/2022, 8:59:00 am,C,22.5
5/6/2022, 9:14:00 am,C,22.5
5/6/2022, 9:29:00 am,C,22.5
5/6/2022, 9:44:00 am,C,22.5
5/6/2022, 9:59:00 am,C,22.5
5/6/2022, 10:14:00 am,C,22.5
5/6/2022, 10:29:00 am,C,22.5
5/6/2022, 10:44:00 am,C,22.5
5/6/2022, 10:59:00 am,C,22.5
5/6/2022, 11:14:00 am,C,22.5
5/6/2022, 11:29:00 am,C,23
5/6/2022, 11:44:00 am,C,23
5/6/2022, 11:59:00 am,C,23
5/6/2022, 12:14:00 pm,C,23
5/6/2022, 12:29:00 pm,C,23
5/6/2022, 12:44:00 pm,C,23
5/6/2022, 12:59:00 pm,C,23
5/6/2022, 1:14:00 pm,C,23
5/6/2022, 1:29:00 pm,C,23
5/6/2022, 1:44:00 pm,C,23
5/6/2022, 1:59:00 pm,C,23
5/6/2022, 2:14:00 pm,C,23
5/6/2022, 2:29:00 pm,C,23
5/6/2022, 2:44:00 pm,C,23
5/6/2022, 2:59:00 pm,C,23
5/6/2022, 3:14:00 pm,C,23
5/6/2022, 3:29:00 pm,C,23
5/6/2022, 3:44:00 pm,C,23
5/6/2022, 3:59:00 pm,C,23
5/6/2022, 4:14:00 pm,C,23
5/6/2022, 4:29:00 pm,C,23
5/6/2022, 4:44:00 pm,C,23
5/6/2022, 4:59:00 pm,C,23
5/6/2022, 5:14:00 pm,C,23
5/6/2022, 5:29:00 pm,C,23
5/6/2022, 5:44:00 pm,C,23
5/6/2022, 5:59:00 pm,C,23
5/6/2022, 6:14:00 pm,C,23
5/6/2022, 6:29:00 pm,C,23
5/6/2022, 6:44:00 pm,C,23
5/6/2022, 6:59:00 pm,C,23
5/6/2022, 7:14:00 pm,C,23
5/6/2022, 7:29:00 pm,C,23
5/6/2022, 7:44:00 pm,C,23
5/6/2022, 7:59:00 pm,C,23
5/6/2022, 8:14:00 pm,C,23
5/6/2022, 8:29:00 pm,C,23
5/6/2022, 8:44:00 pm,C,23
5/6/2022, 8:59:00 pm,C,23
5/6/2022, 9:14:00 pm,C,23
5/6/2022, 9:29:00 pm,C,22.5
5/6/2022, 9:44:00 pm,C,23
5/6/2022, 9:59:00 pm,C,22.5
5/6/2022, 10:14:00 pm,C,22.5
5/6/2022, 10:29:00 pm,C,22.5
5/6/2022, 10:44:00 pm,C,22.5
5/6/2022, 10:59:00 pm,C,22.5
5/6/2022, 11:14:00 pm,C,22.5
5/6/2022, 11:29:00 pm,C,22.5
5/6/2022, 11:44:00 pm,C,22.5
5/6/2022, 11:59:00 pm,C,22.5
6/6/2022, 12:14:00 am,C,22.5
6/6/2022, 12:29:00 am,C,22.5
6/6/2022, 12:44:00 am,C,22.5
6/6/2022, 12:59:00 am,C,22.5
6/6/2022, 1:14:00 am,C,22.5
6/6/2022, 1:29:00 am,C,22.5
6/6/2022, 1:44:00 am,C,22.5
6/6/2022, 1:59:00 am,C,22.5
6/6/2022, 2:14:00 am,C,22.5
6/6/2022, 2:29:00 am,C,22.5
6/6/2022, 2:44:00 am,C,22.5
6/6/2022, 2:59:00 am,C,22.5
6/6/2022, 3:14:00 am,C,22.5
6/6/2022, 3:29:00 am,C,22.5
6/6/2022, 3:44:00 am,C,22.5
6/6/2022, 3:59:00 am,C,22.5
6/6/2022, 4:14:00 am,C,22.5
6/6/2022, 4:29:00 am,C,22.5
6/6/2022, 4:44:00 am,C,22.5
6/6/2022, 4:59:00 am,C,22.5
6/6/2022, 5:14:00 am,C,22.5
6/6/2022, 5:29:00 am,C,22.5
6/6/2022, 5:44:00 am,C,22.5
6/6/2022, 5:59:00 am,C,22.5
6/6/2022, 6:14:00 am,C,22.5
6/6/2022, 6:29:00 am,C,22.5
6/6/2022, 6:44:00 am,C,22.5
6/6/2022, 6:59:00 am,C,22.5
6/6/2022, 7:14:00 am,C,22.5
6/6/2022, 7:29:00 am,C,22.5
6/6/2022, 7:44:00 am,C,22.5
6/6/2022, 7:59:00 am,C,22.5
6/6/2022, 8:14:00 am,C,22.5
6/6/2022, 8:29:00 am,C,22.5
6/6/2022, 8:44:00 am,C,22.5
6/6/2022, 8:59:00 am,C,22.5
6/6/2022, 9:14:00 am,C,22.5
6/6/2022, 9:29:00 am,C,22.5
6/6/2022, 9:44:00 am,C,22.5
6/6/2022, 9:59:00 am,C,22.5
6/6/2022, 10:14:00 am,C,22.5
6/6/2022, 10:29:00 am,C,23
6/6/2022, 10:44:00 am,C,23
6/6/2022, 10:59:00 am,C,23
6/6/2022, 11:14:00 am,C,23
6/6/2022, 11:29:00 am,C,23
6/6/2022, 11:44:00 am,C,23
6/6/2022, 11:59:00 am,C,23
6/6/2022, 12:14:00 pm,C,23
6/6/2022, 12:29:00 pm,C,23
6/6/2022, 12:44:00 pm,C,23
6/6/2022, 12:59:00 pm,C,24.5
6/6/2022, 1:14:00 pm,C,23.5
6/6/2022, 1:29:00 pm,C,23
6/6/2022, 1:44:00 pm,C,23
6/6/2022, 1:59:00 pm,C,23
6/6/2022, 2:14:00 pm,C,23
6/6/2022, 2:29:00 pm,C,23
6/6/2022, 2:44:00 pm,C,22.5
6/6/2022, 2:59:00 pm,C,22.5
6/6/2022, 3:14:00 pm,C,22.5
6/6/2022, 3:29:00 pm,C,22.5
6/6/2022, 3:44:00 pm,C,22.5
6/6/2022, 3:59:00 pm,C,22.5
6/6/2022, 4:14:00 pm,C,22.5
6/6/2022, 4:29:00 pm,C,22.5
6/6/2022, 4:44:00 pm,C,22.5
6/6/2022, 4:59:00 pm,C,22.5
6/6/2022, 5:14:00 pm,C,22.5
6/6/2022, 5:29:00 pm,C,22.5
6/6/2022, 5:44:00 pm,C,22.5
6/6/2022, 5:59:00 pm,C,22.5
6/6/2022, 6:14:00 pm,C,22.5
6/6/2022, 6:29:00 pm,C,22.5
6/6/2022, 6:44:00 pm,C,22.5
6/6/2022, 6:59:00 pm,C,22.5
6/6/2022, 7:14:00 pm,C,22.5
6/6/2022, 7:29:00 pm,C,22.5
6/6/2022, 7:44:00 pm,C,22.5
6/6/2022, 7:59:00 pm,C,22.5
6/6/2022, 8:14:00 pm,C,22.5
6/6/2022, 8:29:00 pm,C,22.5
6/6/2022, 8:44:00 pm,C,22.5
6/6/2022, 8:59:00 pm,C,22.5
6/6/2022, 9:14:00 pm,C,22.5
6/6/2022, 9:29:00 pm,C,22.5
6/6/2022, 9:44:00 pm,C,22.5
6/6/2022, 9:59:00 pm,C,22.5
6/6/2022, 10:14:00 pm,C,22.5
6/6/2022, 10:29:00 pm,C,22.5
6/6/2022, 10:44:00 pm,C,22.5
6/6/2022, 10:59:00 pm,C,22.5
6/6/2022, 11:14:00 pm,C,22.5
6/6/2022, 11:29:00 pm,C,22.5
6/6/2022, 11:44:00 pm,C,22.5
6/6/2022, 11:59:00 pm,C,22.5
7/6/2022, 12:14:00 am,C,22.5
7/6/2022, 12:29:00 am,C,22.5
7/6/2022, 12:44:00 am,C,22.5
